code,climate_station,climate_zone,Story,ssp1_1945,ssp1_1950,ssp1_1960,ssp1_1970,ssp1_1980,ssp1_1990,ssp1_2005,ssp1_2010,ssp1_2012,ssp1_2018,ssp2_1945,ssp2_2010,ssp2_2018,ssp5_1945,ssp5_2010,ssp5_2018,hvac_type,heating_start,heating_end,cooling_start,cooling_end,Longitude_city,Latitude_city,Climate Code,Longitude_station,Latitude_station,High_station,severe cold_boiler Gas,severe cold_cogeneration,severe cold_Gshp nocooling,cold_Gshp,cold_cogeneration Ptac,cold_boiler Gas Ptac,winter cold_Ptac,winter cold_Ashp,winter warm_Ptac noheating,winter warm_Ashp noheating,severe cold_boiler Gas,severe cold_Gshp nocooling,cold_Gshp,cold_boiler Gas Ptac,winter cold_Ptac,winter cold_Ashp,winter warm_Ptac noheating,winter warm_Ashp noheating
10039,77,cold B,8,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7632,1776,4344,6552,115.4714638,38.87998777,5,115.73,38.23,19,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10040,80,severe cold B,7,1945,,1960,1970,1980,,,2010,,2018,1945,2010,2018,1945,2010,2018,0,7008,2616,,,114.8925722,40.7732372,2,114.7,41.15,1393.3,boiler Gas,cogeneration,Gshp nocooling,,,,,,,,boiler Gas,Gshp nocooling,,,,,,
10041,73,cold A,10,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7296,2880,4320,5424,118.1804557,40.77436719,4,117.95,40.98,385.9,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10042,230,cold B,8,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7632,1776,4344,6552,116.8455808,38.31021514,5,117.07,39.08,2.5,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10043,9,cold B,13,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7632,1776,4344,6552,116.6905817,39.54336666,5,116.47,39.8,31.3,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10044,77,cold B,8,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7632,1776,4344,6552,115.6754061,37.74519141,5,115.73,38.23,19,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10045,226,cold A,14,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7296,2880,4320,5424,112.5723962,37.74232253,4,112.55,37.78,778.3,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10046,226,cold A,13,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7296,2880,4320,5424,112.5693847,37.86953248,4,112.55,37.78,778.3,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10047,226,cold A,13,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7296,2880,4320,5424,112.576383,37.90018625,4,112.55,37.78,778.3,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
10048,226,cold A,12,1945,1950,1960,,1980,1990,2005,2010,,2018,1945,2010,2018,1945,2010,2018,2,7296,2880,4320,5424,112.493605,37.94594335,4,112.55,37.78,778.3,,,,Gshp,cogeneration Ptac,boiler Gas Ptac,,,,,,,Gshp,boiler Gas Ptac,,,,
